origem,destino,volume
1,1,0.9325852702823046
2,1,2.7468162792768727
3,1,3.1210259150414106
4,1,3.3404577433431295
5,1,3.226823403686882
6,1,3.3600498708700686
7,1,3.4599697212574587
8,1,3.602992252204114
9,1,1.7103927331017899
10,1,3.5050316145694183
11,1,1.1539763113367174
12,1,1.4478582242408051
13,1,2.331463175705762
14,1,0.4251491673345801
15,1,2.321667111942292
16,1,4.418024757324784
17,1,7.243209546709413
18,1,0.06857244634428711
19,1,1.4987977558108467
20,1,2.3647697925015585
21,1,6.214622851545106
22,1,0.36441357200106866
23,1,1.2147119066702288
24,1,2.546976578502093
25,1,2.1688485172321665
26,1,4.484637990916377
27,1,4.122183631668003
28,1,1.1559355240894114
29,1,4.437616884851724
30,1,7.327455695075252
31,1,4.594353905067236
32,1,2.5489357912547868
33,1,2.6037937483302165
34,1,1.3616528631222726
35,1,1.0638525247127972
36,1,4.245614035087719
37,1,3.7636476979250153
38,1,3.115148276783329
39,1,0.7229495057440556
40,1,1.8416599875322825
41,1,6.925817080772998
42,1,1.5654109894024402
43,1,2.968207320331285
44,1,0.0450618933119601
45,1,3.1112298512779413
46,1,0.4133938908184166
47,1,6.261643957609761
48,1,4.786356754831241
49,1,3.965446611452489
50,1,1.4694095645204381
51,1,8.154243476712084
52,1,1.733903286134117
53,1,0.4212307418291923
1,2,14.376346958767476
2,2,42.34377822729412
3,2,48.11243845654746
4,2,51.49510832919863
5,2,49.74336857371856
6,2,51.79713242497105
7,2,53.33745531341043
8,2,55.54223121254913
9,2,26.366703560932788
10,2,54.032110733687006
11,2,17.78921924099589
12,2,22.31958067758228
13,2,35.94086739691869
14,2,6.553922878261644
15,2,35.78985534903248
16,2,68.10643359668207
17,2,111.65830820706589
18,2,1.0570843352034909
19,2,23.104843326590586
20,2,36.45430835973182
21,2,95.80204317901352
22,2,5.617648181367123
23,2,18.72549393789041
24,2,39.26313245041538
25,2,33.43406740200756
26,2,69.13331552230831
27,2,63.54586975051843
28,2,17.819421650573133
29,2,68.40845769245449
30,2,112.95701181888732
31,2,70.8246504586339
32,2,39.29333485999262
33,2,40.139002328155414
34,2,20.990674656183604
35,2,16.39990840044273
36,2,65.4486215538847
37,2,58.01882879788303
38,2,48.02183122781573
39,2,11.144689134002519
40,2,28.390265002608043
41,2,106.76551785555259
42,2,24.13172525221684
43,2,45.75665050952254
44,2,0.6946554202765798
45,2,47.961426408661254
46,2,6.372708420798188
47,2,96.52690100886736
48,2,73.78448659720367
49,2,61.12967698433902
50,2,22.651807182931947
51,2,125.70242866048369
52,2,26.7291324758597
53,2,6.493518059107159
1,3,4.965713776827856
2,3,14.625904863682049
3,3,16.618449677493224
4,3,17.78685291909978
5,3,17.181786954696385
6,3,17.891174637100363
7,3,18.423215398903352
8,3,19.184763940307622
9,3,9.107285981451088
10,3,18.663155350304695
11,3,6.1445491902344695
12,3,7.709374960243248
13,3,12.414284442069642
14,3,2.263781280612699
15,3,12.362123583069348
16,3,23.524547409131966
17,3,38.56773914481636
18,3,0.3651260130020483
19,3,7.980611427044769
20,3,12.591631362670636
21,3,33.09084894978563
22,3,1.9403839548108852
23,3,6.467946516036283
24,3,13.56182334007608
25,3,11.548414182664784
26,3,23.879241250333955
27,3,21.94928946732313
28,3,6.154981362034528
29,3,23.628869127132553
30,3,39.01632253221887
31,3,24.463442871137232
32,3,13.572255511876136
